Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
MARA180316P2.5(3456949VP),"PUT (MARA) MARATHON PATENT MAR 16 18 $2.5 (100 SHS)",50.00000,02/13/2018,02/16/2018,"$2963.06 ","$2006.84 ","$956.22 ",-
MARA180316P2.5(3456949VP),"PUT (MARA) MARATHON PATENT MAR 16 18 $2.5 (100 SHS)",50.00000,02/13/2018,02/15/2018,"$2963.07 ","$2256.84 ","$706.23 ",-
MARA180615C15(3491319QK),"CALL (MARA) MARATHON PATENT JUN 15 18 $15 (100 SHS)",50.00000,12/01/2017,06/15/2018,"$0.00 ","$1789.53 ","($1789.53)",-
MARA180615C15(3491319QK),"CALL (MARA) MARATHON PATENT JUN 15 18 $15 (100 SHS)",80.00000,12/12/2017,06/15/2018,"$0.00 ","$2460.27 ","($2460.27)",-
MARA180615C15(3491319QK),"CALL (MARA) MARATHON PATENT JUN 15 18 $15 (100 SHS)",20.00000,12/12/2017,06/15/2018,"$0.00 ","$713.83 ","($713.83)",-
MGTI(55302P202),"MGT CAPITAL INVESTMENTS INC COM USD0.001",100.00000,12/08/2017,01/04/2018,"$438.00 ","$268.45 ","$169.55 ",-
MGTI(55302P202),"MGT CAPITAL INVESTMENTS INC COM USD0.001",100.00000,12/13/2017,01/04/2018,"$438.00 ","$436.95 ","$1.05 ",-
MGTI(55302P202),"MGT CAPITAL INVESTMENTS INC COM USD0.001",300.00000,12/19/2017,01/04/2018,"$1313.99 ","$2178.00 ","($864.01)",-
,,,,Wash Sale,"$0.00 ","($864.01)","$864.01 ",-
MRNS180316P5(3558599SO),"PUT (MRNS) MARINUS MAR 16 18 $5 (100 SHS)",48.00000,03/07/2018,03/07/2018,"$4762.12 ","$4929.66 ","($167.54)",-
MRNS180316P5(3558599SO),"PUT (MRNS) MARINUS MAR 16 18 $5 (100 SHS)",2.00000,03/07/2018,03/07/2018,"$198.42 ","$251.68 ","($53.26)",-
NBEV181221P11(3873819EY),"PUT (NBEV) NEW AGE BEVERAGES DEC 21 18 $11 (100 SHS)",2.00000,10/02/2018,10/10/2018,"$1198.61 ","$1276.32 ","($77.71)",-
